Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
4 Jun;9;3;3;3;1;5;20;5;24;53;22;3;1;2;3;;;4;8;3;;5;;1;;2;17;;1;;;;3;;;201
5 Jun;3;;2;3;;6;22;2;16;18;26;2;;1;3;;2;4;5;8;;7;;;;2;18;;1;;;;2;;;153
6 Jun;2;1;;3;;5;20;2;15;40;20;2;6;2;4;;2;4;12;4;;3;;;2;1;9;;1;;;;3;;;163
7 Jun;8;;;4;;6;20;2;22;28;27;;7;1;2;;;5;11;14;1;;;1;1;7;22;;;;;;2;;;191
8 Jun;5;5;4;2;;7;20;;26;33;34;3;3;;2;1;1;2;;9;;3;;;2;7;13;;;;;;7;;;189
9 Jun;15;;1;5;;7;14;3;10;15;33;3;1;2;3;;17;;7;7;;5;;2;2;1;14;;;;1;;1;1;;170
10 Jun;8;1;4;4;;9;25;1;19;58;32;;3;;1;;;3;9;6;;4;;2;;6;11;;1;;2;;2;;;211
11 Jun;7;2;2;2;3;9;21;;14;37;35;2;5;2;;;4;;11;10;;6;;1;;4;12;;;1;2;;1;;;193
12 Jun;14;3;3;1;2;10;19;1;12;37;28;;1;1;;;1;1;7;3;;3;;1;2;1;7;;;;;;3;3;;164
13 Jun;6;3;4;;1;8;19;2;9;9;29;;1;;3;;;;10;8;;13;2;;1;4;13;;;;;;2;2;;149
14 Jun;6;2;3;2;;5;39;5;16;55;30;;10;1;3;;9;;11;7;;9;;4;;4;9;;1;;;;4;2;;237
15 Jun;8;2;1;2;1;17;20;4;11;16;41;3;2;;1;1;;1;6;9;;5;;1;1;3;5;;2;;1;;;;;164
16 Jun;9;;3;2;;15;34;2;15;18;46;3;1;1;1;;1;;7;4;;6;;1;;12;14;;1;;;;;;;196
17 Jun;4;1;6;3;1;18;50;2;17;52;53;3;2;;1;;23;;4;6;;9;1;;;4;15;;1;1;;;;;;277
18 Jun;2;3;1;3;2;12;66;2;49;51;39;2;4;;;1;;;4;7;1;7;1;;1;21;8;2;;1;;;;;;290
19 Jun;7;2;7;2;1;10;59;3;15;34;38;14;2;1;1;;;;5;5;;6;1;;1;22;9;;2;1;;;;;;248
20 Jun;3;2;4;1;4;15;69;5;62;86;51;15;3;2;1;;2;1;5;5;1;1;1;;;20;12;;;;;;;;;371
21 Jun;12;1;6;3;2;12;74;8;28;38;50;14;;;1;1;;;6;4;;3;;2;3;18;7;;;;;;1;;;294
22 Jun;10;3;5;2;2;15;59;2;69;71;41;16;5;;;;2;;3;7;1;10;;1;;4;7;;;;;;;;;335
23 Jun;6;4;9;1;;17;47;3;38;45;51;15;5;;1;;25;1;6;7;;6;1;;1;3;10;1;;;;;4;;;307
24 Jun;6;2;4;;2;11;50;1;82;78;51;15;4;1;3;1;2;;8;4;;7;1;1;1;4;11;1;;;;;;;;351
24 Jun;6;2;4;;2;11;50;1;82;78;51;15;4;1;3;1;2;;8;4;;7;1;1;1;4;11;1;;;;;;;;351
25 Jun;6;2;5;2;2;16;69;5;84;103;52;15;4;11;1;;2;;11;4;1;1;2;2;4;1;11;;4;2;;;;;;422
26 Jun;6;3;4;2;4;22;51;1;74;52;50;15;5;;3;;17;12;8;4;1;3;2;2;1;1;10;1;1;2;;;;1;;358
27 Jun;4;4;19;;1;19;51;1;93;69;64;15;9;2;3;;15;;5;8;;5;;5;1;2;6;2;1;2;;;3;;;409
28 Jun;14;5;7;1;;32;80;6;73;56;66;4;8;2;1;;15;;10;10;1;3;1;2;3;11;10;;1;1;;;;;;423
29 Jun;10;1;9;;4;18;80;3;112;66;78;6;13;;1;;18;;11;7;2;2;2;2;1;1;14;;1;;;;;1;;463
30 Jun;11;;17;;;30;71;5;90;73;94;;11;1;;4;4;;5;8;1;5;3;8;4;11;8;;;1;;1;1;;;467
1 Jul;3;9;2;3;4;37;46;4;65;180;74;5;11;2;1;3;6;;15;6;;4;2;1;1;3;11;1;;2;;;3;;;504
2 Jul;8;8;5;5;7;24;30;5;37;220;82;25;9;;4;;15;;13;7;;3;;4;3;3;10;1;3;2;;;3;3;;539
3 Jul;6;4;7;1;4;36;40;7;38;188;80;25;15;2;1;3;8;;5;7;1;2;2;;;;8;;2;;;;1;;;493
4 Jul;1;4;17;1;4;38;76;3;66;138;89;25;16;;2;;22;;15;8;;5;2;3;2;3;6;4;;;;1;4;;;555
5 Jul;7;7;3;4;3;32;120;2;39;129;100;25;18;1;3;;12;1;9;11;;4;2;2;;4;11;;2;;;1;6;;;558
6 Jul;2;5;6;4;1;52;137;2;48;232;122;25;19;1;3;;4;1;15;9;2;9;4;;3;6;3;4;3;1;;1;4;;;728
7 Jul;7;8;13;9;2;32;142;4;67;480;155;10;23;1;4;1;12;;20;3;2;1;2;8;2;2;16;1;6;1;;1;4;1;;1040
8 Jul;7;7;5;6;1;38;130;3;136;229;165;7;26;3;4;1;5;1;23;10;1;5;2;10;3;1;8;2;4;3;;1;5;;;852
9 Jul;13;6;4;6;3;44;138;1;160;202;168;6;18;0;4;1;11;;12;10;9;5;1;7;6;7;16;1;3;4;;;4;1;;871
10 Jul;2;7;8;6;4;37;90;5;164;162;180;6;26;3;5;3;28;;5;5;3;6;5;8;2;19;20;6;6;2;;2;;1;;826
11 Jul;2;9;9;8;;50;54;4;269;152;279;16;53;3;6;4;3;1;18;18;3;4;7;4;4;4;15;3;2;;;1;2;;;1007
12 Jul;6;14;8;5;;47;123;3;175;191;171;3;22;1;6;5;15;2;10;10;3;9;2;6;9;7;17;8;3;7;;1;2;;;891
13 Jul;7;22;2;12;;39;80;1;144;169;179;13;51;7;6;2;17;3;10;11;2;10;;4;4;40;11;1;;8;;1;4;4;;864
14 Jul;8;21;21;13;5;65;63;1;142;237;234;10;43;2;3;7;25;10;10;3;2;12;4;6;6;;16;5;7;3;;3;3;1;;991
15 Jul;9;14;10;9;;54;141;3;126;239;211;0;49;0;5;1;18;6;11;7;3;15;3;5;7;1;23;5;;3;;;4;;;982
16 Jul;6;21;19;11;2;65;132;3;137;255;345;5;58;1;6;3;13;4;15;8;8;9;3;12;4;19;19;;1;7;;1;10;3;;1205
17 Jul;13;23;12;15;;85;67;3;84;247;283;12;38;1;6;6;37;7;38;26;5;12;2;11;7;3;21;3;;3;;;17;;;1087
18 Jul;8;20;9;10;1;48;158;6;91;179;328;12;51;11;6;3;31;2;15;0;6;14;6;17;7;11;28;6;0;3;3;1;2;0;;1093
19 Jul;3;25;5;12;2;56;250;6;82;278;359;8;77;8;6;6;17;2;32;;2;8;3;17;5;11;27;5;11;3;;3;9;;;1338
20 Jul;;23;10;17;;70;268;5;70;303;268;13;87;1;6;10;23;5;4;6;5;19;1;19;9;2;24;1;;2;;3;6;;;1280
21 Jul;4;23;29;18;3;87;95;2;119;386;402;14;60;11;7;4;13;4;12;9;3;4;3;16;4;15;24;5;1;;;1;5;;;1383
22 Jul;1;33;20;9;3;88;194;7;141;402;270;10;75;8;8;7;17;5;20;3;3;3;7;12;14;28;27;;9;5;1;3;9;7;;1449
23 Jul;3;32;25;18;5;97;157;7;156;446;349;14;63;12;10;6;27;;27;13;2;3;5;19;5;11;21;7;7;3;1;2;12;1;;1566
24 Jul;3;25;15;20;6;87;151;9;115;338;356;9;71;25;10;11;21;;32;12;6;2;8;7;10;5;34;;;2;4;2;18;1;;1415
25 Jul;5;27;15;11;3;59;157;8;123;264;318;9;73;2;12;3;14;0;22;3;7;20;1;19;10;6;37;11;0;13;0;0;13;1;;1266
26 Jul;5;26;10;15;3;77;160;6;226;270;371;11;72;2;17;9;45;2;20;16;10;9;12;6;11;16;32;7;0;7;2;4;8;;;1487
27 Jul;8;33;35;16;1;104;184;14;309;417;354;14;60;14;20;14;11;5;13;17;10;17;4;17;23;255;35;4;7;3;0;2;44;5;;2069
28 Jul;5;44;40;18;1;67;69;2;205;398;401;7;87;36;20;13;36;4;36;20;11;23;9;35;15;182;23;2;0;0;2;1;11;1;;1824
29 Jul;10;20;28;19;1;58;27;19;210;679;337;8;85;11;20;5;30;3;70;21;5;13;7;27;16;92;25;10;0;5;12;3;15;2;;1893
30 Jul;10;37;56;17;0;93;43;12;88;449;381;15;69;101;26;6;45;3;11;8;13;14;5;29;25;90;43;3;3;6;25;5;28;;;1759
31 Jul;8;34;81;18;1;76;251;7;179;316;328;17;74;46;48;11;36;2;49;21;20;11;7;21;22;40;50;4;1;1;1;4;10;13;;1808
1 Aug;6;33;72;25;1;58;71;7;189;345;330;10;78;12;25;10;23;3;44;19;20;31;8;28;26;75;33;2;0;2;7;3;5;3;;1604
2 Aug;2;47;90;26;0;46;154;7;127;333;352;10;51;5;20;14;9;2;36;12;8;21;7;17;17;75;50;0;3;3;0;4;20;0;;1568
3 Aug;14;38;85;25;2;85;70;8;139;406;319;10;57;19;35;8;37;4;25;16;13;14;8;17;16;53;36;3;4;2;4;4;16;6;;1598
4 Aug;10;37;80;17;0;44;63;25;142;520;339;13;85;13;15;22;0;5;41;16;4;35;6;35;20;89;46;1;0;1;1;2;15;5;;1747
5 Aug;18;25;17;28;2;59;126;8;173;466;311;11;100;7;45;15;44;0;44;33;6;15;6;25;27;68;35;2;0;0;1;3;11;8;;1739
6 Aug;8;46;16;25;9;72;53;21;107;440;380;10;87;4;23;8;0;4;63;25;9;24;6;25;37;48;56;0;0;1;4;2;18;4;;1635
7 Aug;13;39;14;21;3;83;68;7;79;399;322;10;86;9;46;15;0;5;48;17;5;23;7;21;23;93;50;5;1;4;10;1;53;8;;1588
8 Aug;11;25;25;30;1;51;20;3;58;351;304;10;90;66;19;8;62;4;31;25;17;35;6;28;32;106;27;0;0;0;10;5;24;14;;1498
9 Aug;20;40;31;21;7;59;14;9;120;404;305;9;72;18;24;23;18;3;35;13;8;28;4;30;25;62;53;2;0;2;2;6;7;1;;1475
10 Aug;7;36;15;26;11;62;40;9;491;490;329;10;79;70;26;24;17;4;27;25;5;46;7;26;30;13;57;0;0;3;9;4;36;14;;2048
11 Aug;5;27;29;25;7;52;42;5;120;350;431;8;64;12;24;10;21;2;31;22;9;37;6;28;32;54;55;5;0;4;9;6;31;16;;1579
12 Aug;30;35;24;20;3;30;42;9;90;386;305;8;64;17;32;12;45;7;23;18;15;33;1;28;26;98;35;1;1;4;3;2;15;4;;1466
13 Aug;9;51;17;24;8;65;68;7;70;464;262;6;70;19;4;11;7;8;20;16;5;40;4;28;30;45;29;4;2;0;5;6;18;10;;1432
14 Aug;16;36;17;15;0;42;29;13;43;375;274;10;66;12;44;13;17;6;31;26;16;17;6;16;34;25;31;0;1;3;2;6;21;7;;1270
15 Aug;10;43;25;9;4;81;17;8;46;309;230;11;63;15;41;22;4;7;24;16;7;40;4;26;31;55;52;2;0;4;0;2;8;6;;1222
16 Aug;27;48;20;15;5;36;28;8;65;368;236;9;71;10;25;12;0;5;25;26;14;33;2;19;34;28;42;0;2;1;2;3;18;8;;1245
17 Aug;12;48;13;10;2;44;24;6;90;304;257;15;52;8;40;11;17;5;29;8;0;11;3;30;21;36;33;7;0;4;16;2;15;7;;1180
18 Aug;10;66;15;18;0;33;13;6;48;278;235;15;72;8;39;9;24;7;26;11;7;48;4;16;27;39;30;0;0;3;1;8;8;4;;1128
19 Aug;12;62;17;12;2;57;34;10;239;388;223;16;71;5;29;6;22;6;17;15;11;34;8;26;23;90;28;7;2;2;1;3;10;4;;1492
20 Aug;18;73;4;16;22;47;11;4;268;363;203;16;45;6;19;9;16;8;24;17;2;21;5;21;17;35;30;0;0;0;0;4;10;14;;1348
21 Aug;29;57;6;13;17;29;13;9;343;311;213;12;37;5;27;5;14;4;16;11;5;39;1;21;29;15;43;4;3;4;0;9;8;9;;1361
22 Aug;24;52;2;14;0;39;28;8;59;317;203;12;26;5;28;9;7;4;21;4;4;19;2;19;21;51;29;3;0;2;0;3;9;6;;1030
23 Aug;22;66;10;19;5;39;20;13;37;98;189;12;29;16;13;10;7;11;22;19;7;22;3;20;15;58;30;5;0;1;0;6;14;4;;842
24 Aug;12;44;9;15;3;39;10;4;314;114;185;12;36;9;14;12;6;9;23;11;3;35;2;11;15;36;25;0;4;1;1;11;11;2;;1038
25 Aug;19;45;8;22;5;39;9;12;270;102;206;7;39;3;49;6;11;8;19;14;2;28;4;32;20;16;31;1;0;2;0;6;2;4;;1041
26 Aug;17;51;7;14;1;15;10;7;235;76;161;13;36;5;24;1;6;1;21;11;14;51;3;12;24;30;30;3;0;2;0;3;1;4;;889
27 Aug;16;45;6;16;25;21;9;8;25;47;161;16;30;9;24;8;8;4;19;6;5;21;1;11;10;7;20;1;1;1;2;2;10;4;;599
28 Aug;23;34;5;12;1;31;10;11;29;54;167;2;18;15;18;4;8;3;7;13;5;29;1;25;15;5;33;0;0;1;1;0;7;4;;591
29 Aug;19;44;3;15;2;22;6;13;12;39;145;3;25;5;8;6;9;2;22;11;11;36;0;9;17;27;24;0;0;1;1;3;11;0;;551
30 Aug;19;50;7;10;7;35;5;5;50;42;132;3;19;3;6;7;6;6;9;7;5;19;1;10;15;39;18;2;0;2;0;3;18;8;;568
31 Aug;26;14;4;11;0;33;29;5;37;31;132;3;8;3;16;9;11;9;9;6;5;24;2;20;6;23;30;0;0;0;0;6;14;6;;532
1 Sep;17;20;4;7;1;26;12;7;53;162;140;3;29;3;15;5;8;5;18;7;10;5;1;10;16;24;23;0;2;1;0;4;10;5;;653
2 Sep;13;25;3;3;0;30;9;4;43;206;121;4;13;14;15;8;7;3;14;15;4;32;0;28;15;13;18;1;1;0;1;2;13;2;;680
3 Sep;24;18;3;10;2;18;11;2;96;121;85;5;21;2;13;4;4;2;8;8;2;22;4;11;18;23;26;0;0;0;1;1;6;3;;574
4 Sep;14;27;1;9;1;25;10;2;125;73;92;4;24;2;17;1;12;4;7;4;4;5;8;2;13;8;30;0;0;0;2;3;5;5;;539
5 Sep;15;18;1;8;5;21;11;3;9;89;70;3;22;4;12;5;5;2;7;1;4;6;2;22;9;6;21;1;0;0;0;4;3;3;;392
6 Sep;10;17;3;6;0;15;16;2;180;71;81;4;14;6;14;5;5;6;7;10;4;35;5;12;9;34;29;0;0;0;0;5;3;4;;612
7 Sep;30;21;1;12;3;12;13;6;252;116;79;1;13;6;6;0;3;4;8;4;5;40;4;7;6;2;18;1;1;0;0;2;7;0;;683
8 Sep;30;20;4;8;1;9;14;6;187;145;63;6;13;2;4;7;4;3;9;6;0;37;3;5;10;3;13;0;1;0;6;0;6;1;;626
9 Sep;11;16;3;10;0;18;13;3;13;78;45;7;16;5;7;0;1;5;4;3;6;6;0;7;8;20;22;0;1;0;0;2;4;0;;334
10 Sep;21;13;1;8;3;13;12;3;8;47;49;4;10;0;21;13;3;1;4;9;8;3;1;7;12;15;12;0;0;0;11;0;3;0;;315
11 Sep;25;16;2;9;1;13;20;2;7;31;39;7;18;2;9;2;2;3;5;7;1;13;0;3;8;9;10;0;1;1;1;0;2;1;;270
12 Sep;11;17;3;4;3;11;6;2;4;14;31;3;14;2;4;2;2;3;6;0;2;14;2;9;4;3;9;0;0;0;0;0;3;0;;188
13 Sep;9;15;0;6;0;13;6;6;7;35;37;2;13;1;0;6;3;5;7;9;1;23;0;5;10;13;15;0;0;0;25;1;3;0;;276
14 Sep;11;22;1;4;1;11;3;1;17;48;24;3;14;3;11;4;7;6;6;3;0;21;0;3;5;4;9;1;0;0;2;2;2;1;;250
15 Sep;18;17;0;4;0;15;10;1;22;39;23;2;11;3;1;0;4;2;3;4;5;50;0;3;8;4;8;0;0;1;5;1;2;1;;267
16 Sep;19;14;6;6;0;9;9;1;9;42;30;1;8;2;2;0;4;1;3;3;1;25;0;14;2;6;6;0;0;0;9;1;3;1;;237
17 Sep;14;13;3;2;1;6;5;1;8;41;20;3;7;8;1;1;5;3;5;3;3;18;2;11;9;10;9;0;0;2;0;0;5;0;;219
18 Sep;16;9;1;6;3;7;6;0;6;37;19;4;7;7;4;0;3;1;5;4;6;14;1;1;6;3;6;0;0;0;2;0;1;0;;185
19 Sep;12;14;0;5;0;9;4;1;6;11;16;1;9;3;4;1;4;1;1;0;2;17;1;2;2;5;9;0;0;0;0;1;2;2;;145
20 Sep;23;9;2;6;0;9;3;4;10;19;26;2;3;2;2;0;1;1;5;3;0;12;0;2;3;8;7;0;0;0;0;0;4;0;;166
21 Sep;16;12;3;1;0;7;4;1;9;23;25;0;3;1;2;13;0;4;4;4;0;7;0;1;4;13;7;0;0;0;1;1;1;4;;171
22 Sep;14;16;0;6;0;5;4;1;13;14;14;2;5;0;1;0;0;1;1;3;3;6;3;1;8;9;7;0;0;0;4;4;1;3;;149
23 Sep;23;16;2;5;0;7;2;1;13;16;22;3;2;0;1;0;4;2;3;5;0;8;0;4;3;1;6;0;0;0;10;0;1;0;;160
24 Sep;12;12;1;1;0;5;5;0;13;16;18;2;3;4;0;0;1;1;3;4;0;11;0;4;3;3;5;0;0;1;10;0;6;0;;144
25 Sep;9;9;2;6;0;5;3;0;2;12;17;1;2;4;1;2;2;0;2;4;1;4;0;4;3;5;8;0;0;0;10;1;4;0;;123
26 Sep;5;4;1;5;0;3;3;3;6;3;8;1;1;2;4;1;0;0;3;7;0;6;0;2;1;2;3;0;0;1;10;0;1;0;;86
27 Sep;4;7;0;2;0;6;4;3;6;12;14;0;4;2;12;0;1;2;1;1;1;5;1;3;3;8;2;0;0;0;10;1;3;0;;118
28 Sep;9;6;1;3;1;3;3;0;6;20;12;1;3;2;11;2;1;2;3;2;1;10;0;2;1;4;7;0;0;0;5;1;2;0;;124
29 Sep;10;7;1;1;0;5;6;1;5;12;9;3;7;1;7;2;1;2;3;1;2;7;1;1;3;3;4;0;1;0;10;1;0;0;;117
30 Sep;10;5;1;2;0;5;3;0;11;28;13;1;1;0;5;2;3;0;4;2;1;1;0;2;2;3;2;0;0;0;5;0;1;0;;113
1 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87
2 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89
3 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58
4 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88
5 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77
6 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75
7 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81
8 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66
9 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52
10 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39
11 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65
12 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47
13 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48
14 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37
15 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41
16 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44
17 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
18 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47
19 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50
20 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28
21 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43
22 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33
23 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
24 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29
25 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30
26 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35
27 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29
28 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34
29 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28
30 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27
31 Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
1 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
2 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34
3 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
4 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
5 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
6 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
7 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
8 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
9 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
10 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
11 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
12 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20
13 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
14 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
15 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
16 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
17 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
18 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
19 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
20 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
21 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
22 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
23 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
24 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
25 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
26 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
27 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
28 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
29 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
30 Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
1 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
2 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
3 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
4 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
5 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
6 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
7 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
8 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
9 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
10 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
11 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
12 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
13 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
14 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
15 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
16 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
17 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
18 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
19 Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4